name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"export-to-sheets","1.0.0","-","-","-","-","-","-",false,false,false,false,false,""
"export-to-sheets","1.0.0","-","-","-","-","-","-",false,false,false,false,false,""
"@aashutoshrathi/word-wrap","1.2.6","-","-","-","-","-","-",false,true,false,true,false,"optionator@0.9.3"
"@arr/every","1.0.1","1.0.1","git+https://github.com/lukeed/arr.git","2019-10-23T11:58:42.623Z","lukeed (luke@lukeed.com)",1922,"MIT",true,false,false,false,false,"matchit@1.1.0"
"@azure/abort-controller","1.1.0","1.1.0","git+https://github.com/Azure/azure-sdk-for-js.git","2022-05-05T19:02:15.161Z","azure-sdk (azure-sdk-npmjs@microsoft.com)",65003,"MIT",true,false,false,false,false,"@azure/core-auth@1.5.0,@azure/core-client@1.7.3,@azure/core-http-compat@1.3.0,@azure/core-lro@2.5.4,@azure/core-rest-pipeline@1.12.1,@azure/core-util@1.5.0,@azure/identity@2.1.0,@azure/keyvault-keys@4.7.2"
"@azure/core-auth","1.5.0","1.5.0","git+https://github.com/Azure/azure-sdk-for-js.git","2023-08-03T22:26:25.788Z","azure-sdk (azure-sdk-npmjs@microsoft.com)",58386,"MIT",true,false,false,false,false,"@azure/core-client@1.7.3,@azure/core-rest-pipeline@1.12.1,@azure/identity@2.1.0,@azure/keyvault-keys@4.7.2"
"@azure/core-client","1.7.3","1.7.3","git+https://github.com/Azure/azure-sdk-for-js.git","2023-06-01T19:47:06.529Z","azure-sdk (azure-sdk-npmjs@microsoft.com)",671522,"MIT",true,false,false,false,false,"@azure/core-http-compat@1.3.0,@azure/identity@2.1.0,@azure/keyvault-keys@4.7.2"
"@azure/core-http-compat","1.3.0","2.0.1","git+https://github.com/Azure/azure-sdk-for-js.git","2022-05-05T18:20:50.557Z","azure-sdk (azure-sdk-npmjs@microsoft.com)",69827,"MIT",true,false,false,false,false,"@azure/keyvault-keys@4.7.2"
"@azure/core-lro","2.5.4","2.5.4","git+https://github.com/Azure/azure-sdk-for-js.git","2023-07-24T22:39:34.406Z","azure-sdk (azure-sdk-npmjs@microsoft.com)",316108,"MIT",true,false,false,false,false,"@azure/keyvault-keys@4.7.2"
"@azure/core-paging","1.5.0","1.5.0","git+https://github.com/Azure/azure-sdk-for-js.git","2023-02-02T23:56:15.823Z","azure-sdk (azure-sdk-npmjs@microsoft.com)",38417,"MIT",true,false,false,false,false,"@azure/keyvault-keys@4.7.2"
